Likes,Dislikes,Views,Comments,Title,Category_id,Date,Tags
458,20,114469,0,Máy lọc nước mặn thành nước ngọt cứu cây ăn trái | VTV24,News & Politics,2020-03-09T07:07:26Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1']"
169,6,20980,0,Cơ hội kinh doanh bất ngờ với siêu thị châu Âu | VTV24,News & Politics,2020-03-09T06:39:59Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'tích trữ', 'găm hàng', 'hàng hóa', 'nhu yếu phẩm', 'châu âu']"
158,11,18134,0,"Đề xuất cho sinh viên y khoa đi học sớm, trở thành lực lượng dự bị phòng dịch | VTV24",News & Politics,2020-03-09T06:34:50Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1']"
3215,144,439453,0,Italy có thể trở thành ổ dịch lớn thứ 2 thế giới | VTV24,News & Politics,2020-03-09T06:08:45Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1']"
50,6,7434,0,Bất động sản được tháo gỡ nút thắt giao đất tại các địa phương | VTV24,News & Politics,2020-03-09T05:55:44Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'bất động sản', 'giao đất', 'mua bán đất nền', 'dự án bất động sản']"
280,5,23948,0,Xem và nhớ: Quy trình phân loại cách ly phòng chống dịch Covid-19 | VTV24,News & Politics,2020-03-09T05:23:43Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'covid-19', 'quy trình cách ly', 'chống dịch Covid-19', 'chuẩn nhất']"
10282,548,931227,0,"PTT Vũ Đức Đam: ""Nếu toàn dân Việt Nam đồng lòng... thì chúng ta sẽ chiến thắng"" | VTV24",News & Politics,2020-03-08T16:39:12Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'phó thủ tướng', 'phó thủ tướng VŨ Đức Đam', 'Vũ Đức Đam', 'Đồng lòng', 'chiến thắng', 'Việt Nam', 'toàn dân Việt Nam đồng lòng']"
265,14,54705,0,Bé 35 ngày tuổi mắc COVID-19 tại Trung Quốc được xuất viện|Thế giới có 106.464 ca nhiễm| VTV24,News & Politics,2020-03-08T16:30:09Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'COVID-19', 'COVID-19 mới nhất', 'virus corona', 'corona', 'Vũ Hán', 'Trung Quốc', 'Hồ Bắc', 'dịch bệnh', 'cách ly', 'bệnh nhân 17', 'bệnh nhân 21']"
2401,174,573764,0,"Siêu thị, chợ và các tiệm tạp hóa hôm qua rất đông, còn hôm nay thì sao? | VTV24",News & Politics,2020-03-08T15:45:00Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'siêu thị', 'chợ', 'tạp hóa', 'hôm qua', 'hôm nay', 'đổ xô đi mua đồ tích chữ', 'người dân đổ xô đi mua đồ tích chữ', 'hôm qua rất đông', 'hôm nay thì sao']"
4022,204,637989,0,Toàn cảnh phòng chống dịch COVID-19 ngày 8/3/2020 | VTV24,News & Politics,2020-03-08T15:32:20Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'virus corona', 'corona', 'Covid-19', 'dịch bệnh', 'ca nhiễm', 'dương tính', 'bệnh nhân thứ 17', 'Vũ']"
4698,365,1080756,0,Ca nhiễm COVID-19 thứ 30 tại Việt Nam cùng chuyến bay với bệnh nhân thứ 17 | VTV24,News & Politics,2020-03-08T15:09:31Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'COVID-19', 'COVID-19 mới nhất', 'virus corona', 'corona', 'Vũ Hán', 'Hồ Bắc', 'Trung Quốc', 'Hà Nội', 'dịch bệnh', 'cách ly', 'bệnh nhân N.H.N', 'bệnh nhân 17', 'bệnh nhân 21', '30 người nhiễm']"
8833,652,1222933,0,"Việt Nam có thêm 9 ca dương tính với COVID-19, sức khỏe của cả 9 đều ổn định | VTV24",News & Politics,2020-03-08T12:01:57Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'COVID-19', 'COVID-19 mới nhất', 'Corona mới nhất', 'ncov mới nhất', 'thêm 9 người nhiễm COVID-19', 'sức khỏe của 9 người nhiễm COVID-19', 'Việt Nam', 'COVId-19 Việt Nam', 'dương tính với Covid-19', 'thêm 8 ca dương tính với COVID-19']"
1432,70,189688,0,Đề xuất tạm dừng miễn thị thực với các nước Châu Âu | Thế giới có hơn 106 nghìn ca nhiễm bệnh |VTV24,News & Politics,2020-03-08T06:28:08Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'COVID-19', 'Corona', 'ncov', 'COVID-19 mới nhất', 'corona mới nhất', 'Hà Nội', 'Thế giới', 'trường hợp thứ 4', 'bệnh nhân thứ 21', 'bệnh nhân số 17', 'tạm dừng miễn thị thực', 'Châu Âu', 'Vũ Đứng Đam', 'đề xuất tạm dừng miễn thị thực']"
1671,97,396682,0,Ca nhiễm Covid-19 thứ 4 ở Hà Nội: ngồi gần bệnh nhân thứ 17 trên máy bay | VTV24,News & Politics,2020-03-08T06:15:32Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'Covid-19', 'dịch bệnh', 'virus corona', 'corona', 'cách ly', 'Việt Nam', 'nhiễm bệnh', 'dương tính', 'bệnh nhân N.H.N', 'bệnh nhân thứ 17']"
3725,151,438841,0,Toàn cảnh phòng chống dịch COVID-19 ngày 7/3/2020 | VTV24,News & Politics,2020-03-07T14:45:10Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'Toàn cảnh phòng chống dịch COVID-19', 'COVID-19', 'toàn cảnh COVId-19', 'CoVID-19 mới nhất', 'corona', 'bản tin phòng chống Corona', 'ngày 7/3/2020', 'Corona mới nhất', 'ncov mới nhất']"
131,8,20130,0,Doanh nghiệp đề xuất cho phép hồi tố khi sửa đổi Nghị định 20 | VTV24,News & Politics,2020-03-07T12:15:01Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'nghị định 20', 'luật sửa đổi', 'hồi tố']"
108,9,11179,0,"Gói hỗ trợ 280.000 tỷ sẽ ""cứu"" doanh nghiệp như thế nào? | VTV24",News & Politics,2020-03-07T12:00:12Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'gói hỗ trợ', 'doanh nghiệp được hỗ trợ.']"
4508,471,1264167,0,Thêm 2 người nhiễm COVID-19 có liên quan tới bệnh nhân thứ 17 | Sức khỏe bệnh nhân 17 hiện đang ổn,News & Politics,2020-03-07T11:42:46Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'COVId-19 mới nhất', 'Corona mới nhất', 'bệnh nhân thứ 17', 'bệnh nhân 17 nhiễm COVID-19', 'ncov mới nhất', 'Hà Nội', 'thêm 2 người nhiễm COVID-19']"
72,10,16832,0,"Tiền mất tật mang vì ""thuốc trị bách bệnh"" | VTV24",News & Politics,2020-03-07T11:13:14Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1']"
3070,98,356976,0,Bệnh nhân thứ 18 mắc COVID-19 tại Việt Nam trở về từ Hàn Quốc | VTV24,News & Politics,2020-03-07T09:34:49Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'COVID-19', 'Thái bình', 'bệnh nhân thứ 18 nhiễm COVID-19', 'Hàn quốc', 'bệnh nhân thứ 18 mắc COVID-19 trở về từ Hàn Quốc', 'ca 18 mắc covid-19', 'Việt Nam', 'COVID 19 18 Việt Nam', '18', 'ca thứ 18']"
508,29,132072,0,Nữ bệnh nhân mắc COVID-19 tại Hà Nội đã tiếp xúc với ai? | VTV24,News & Politics,2020-03-07T08:00:02Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'Covid-19 mới nhất', 'Corona', 'ncov', 'corona mới nhất', 'COVID-19', 'bệnh nhân thứ 17', 'bệnh nhân thứ 17 mắc COVID-19 tại Việt Nam', 'Hà nội', 'COVid-19 Hà nội', 'Bệnh nhân mắc COVID-19 tại Hà Nội đã tiếp xúc với ai', 'bệnh nhân COVID-19 Hà Nội']"
1178,153,377276,0,Thang thuốc nào cho kinh tế thế giới trị bệnh? | TCKTCT,News & Politics,2020-03-07T07:51:03Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'kinh tế suy thoái', 'sụt giảm xuất khẩu', 'sản xuất đình trệ']"
144,8,25220,0,Ảm đạm thị trường quà 8/3 | TCKTCT,News & Politics,2020-03-07T07:47:57Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'quà 8/3', 'shop đóng cửa', 'hàng quán ế ẩm']"
5327,157,482319,0,Thông tin mới nhất về ca nhiễm COVID-19 thứ 17 tại Việt Nam | VTV24,News & Politics,2020-03-07T07:03:28Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1']"
3486,264,983113,0,"Phun thuốc khử trùng tại Trúc Bạch, Hà Nội | Kiểm soát chặt người tiếp xúc với bệnh nhân thứ 17",News & Politics,2020-03-07T06:54:41Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'phu thuốc khử trung', 'COVID-19 Hà Nội', 'Bệnh nhân thứ 17 nhiễm COVID-19 tại Việt Nam', 'COVID-19 Việt Nam', 'HÀ Nội COVid-19', 'Trúc Bạch', 'Hà Nội', 'Trúc Bạch Hà Nội', 'kiểm soát chặt người tiếp xúc với bệnh nhân thứ 17', 'COVId-19 mới nhất', 'corona mới nhất', 'ncov mới nhất']"
4959,253,990937,0,Bệnh nhân COVID-19 tại Hà Nội biết mình có khả năng bị nhiễm bệnh | VTV24,News & Politics,2020-03-07T01:36:50Z,"['chuyển động 24h', 'tin tức vtv24', 'thời sự vtv24', 'tin tức', 'VTV24', 'Tin tức mới nhất', 'tin tức trong ngày', 'tin tức VTV1', 'bệnh nhân COVID-19', 'COVID-19 Hà Nội', 'Hà Nội', 'Bệnh nhân Hà Nội', 'bệnh nhân biết mình có khả năng bị nhiễm bệnh', 'COVID-19 mới nhất', 'corona', 'ncov', 'Hà Nội COVID-19', 'hà Nội Corona', 'bệnh nhân nhiễm COVId-19 tại hà nội', 'Nhiễm COVId-19 hà nội', 'bệnh nhân nhiễm covid-19 thứ 17', 'bệnh nhân thứ 17 nhiễm COVID-19', 'bệnh nhân 17 Hà Nội']"
